query_mbid,metric,rating
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,dortmund,1
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,bpm,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,bpm_onsetrate,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,bpm_onsetrate_key,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,mfccsw,1
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,mfccsw,1
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,moods,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,instruments,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,dortmund,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,rosamerica,0
47974dfd-f37d-4f41-b952-18a86af009d2,bpm,1
47974dfd-f37d-4f41-b952-18a86af009d2,bpm_onsetrate,1
47974dfd-f37d-4f41-b952-18a86af009d2,bpm_onsetrate_key,1
47974dfd-f37d-4f41-b952-18a86af009d2,mfccs,0
47974dfd-f37d-4f41-b952-18a86af009d2,mfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,mfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,mfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,mfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccs,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccs,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccs,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccs,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,moods,0
47974dfd-f37d-4f41-b952-18a86af009d2,instruments,0
47974dfd-f37d-4f41-b952-18a86af009d2,dortmund,1
47974dfd-f37d-4f41-b952-18a86af009d2,rosamerica,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,bpm,2
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,mfccsw,2
8d5f76cf-0fa1-45a1-8464-68053d03b46b,bpm,1
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,bpm_onsetrate,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,bpm_onsetrate_key,1
